Timestamp,experience,current_tool,tools_used,fav_tool,past_industries,country,title,Email address,reasons,current_industry,virtual_users
1/05/2021 9:49,11-15 years,We have built in house PT tool in Telstra.,"LoadRunner, JMeter",LoadRunner,Telecommunications,Australia,Senior Performance Engineer / Performance Architect,,,,
1/05/2021 10:09,1-5 years,JMeter,"JMeter, Locust, NeoCortix",JMeter,"Emerging Technologies (i.e. IOT, AI, Blockchain, AR, Biometrics)",USA,CEO,,,,
1/05/2021 10:19,6-10 years,Rational Performance Tester,"NeoLoad, JMeter, Rational Performance Tester",NeoLoad,"Government, Insurance",USA,Performance Tester,,,,
1/05/2021 10:30,> 15 years,JMeter,"LoadRunner, NeoLoad, JMeter, OctoPerf, BlazeMeter",LoadRunner,"Retail, Financial services, Government",Canada,Tech Architect Manager,,,,
1/05/2021 10:58,6-10 years,LoadRunner,"LoadRunner, JMeter, Gatling",LoadRunner,Financial services,India,Test Lead,,,,
1/05/2021 11:08,6-10 years,LoadRunner,"LoadRunner, JMeter, Locust",LoadRunner,"Financial services, Education, Telecommunications",India,Lead performance engineer,,,,
1/05/2021 11:43,6-10 years,JMeter,"LoadRunner, NeoLoad, JMeter, BlazeMeter, Soasta",NeoLoad,"Retail, Financial services, Transport, Telecommunications",Colombia,Senior QA Engineer,,,,
1/05/2021 11:53,11-15 years,LoadRunner,"LoadRunner, JMeter, OctoPerf, BlazeMeter",JMeter,"Retail, Financial services, Telecommunications",USA,Performance Engineer,,,,
1/05/2021 11:54,6-10 years,JMeter,JMeter,JMeter,Financial services,India,Performance analyst,,,,
1/05/2021 12:14,6-10 years,OctoPerf,"LoadRunner, OctoPerf, Rational Performance Tester",LoadRunner,Financial services,India,Senior QA,,,,
1/05/2021 12:21,6-10 years,LoadRunner,"LoadRunner, StressStimulus",LoadRunner,Financial services,Australia,Performance Test lead ,,,,
1/05/2021 12:38,6-10 years,JMeter,"LoadRunner, JMeter",LoadRunner,"Retail, Financial services",India,Senior Performance Engineer,,,,
1/05/2021 12:41,1-5 years,JMeter,"LoadRunner, JMeter, BlazeMeter",JMeter,"Retail, Data Protection",India,SE - Performance Engineering,,,,
1/05/2021 12:43,6-10 years,JMeter,"LoadRunner, JMeter",JMeter,"Retail, Financial services, Telecommunications",India,Senior Test Analyst,,,,
